datetime,track name,artist,album name,track duration,abum image url,spotify url,spotify track id,genre,track playing,tempo,acousticness,livelines,danceability,speechiness,loudness,energy,instrumentalness
2018-12-24 20:40:36,Let It Snow! Let It Snow! Let It Snow! (with The B. Swanson Quartet),Frank Sinatra,Christmas Songs By Sinatra,155600,https://i.scdn.co/image/6cad0033aecb1e2cabd033100896a53598a96ccf,https://open.spotify.com/track/7inXu0Eaeg02VsM8kHNvzM,spotify:track:7inXu0Eaeg02VsM8kHNvzM,christmas,TRUE,143.104,0.881,0.34,0.603,0.0599,-11.489,0.321,0
2018-12-24 20:45:14,Santa Baby,Kylie Minogue,A Kylie Christmas,202546,https://i.scdn.co/image/566b43526ac87212d46850efffecef61aaa512c1,https://open.spotify.com/track/0cM5URUqqQTpJWonmdzF1J,spotify:track:0cM5URUqqQTpJWonmdzF1J,christmas,TRUE,87.101,0.744,0.142,0.685,0.0435,-7.183,0.391,0
2018-12-24 20:45:14,Santa Baby,Kylie Minogue,A Kylie Christmas,202546,https://i.scdn.co/image/566b43526ac87212d46850efffecef61aaa512c1,https://open.spotify.com/track/0cM5URUqqQTpJWonmdzF1J,spotify:track:0cM5URUqqQTpJWonmdzF1J,christmas,TRUE,87.101,0.744,0.142,0.685,0.0435,-7.183,0.391,0
2018-12-24 20:52:17,Baby It's Cold Outside (duet with Michael Bublé),Idina Menzel,Holiday Wishes,166146,https://i.scdn.co/image/dd099b77ac1f55fb4d79b80009a6026aadbca75f,https://open.spotify.com/track/0Ie5uiv54KgCr7P4sYDTHl,spotify:track:0Ie5uiv54KgCr7P4sYDTHl,christmas,TRUE,113.401,0.647,0.281,0.553,0.0649,-8.869,0.476,0
2018-12-24 20:52:17,Baby It's Cold Outside (duet with Michael Bublé),Idina Menzel,Holiday Wishes,166146,https://i.scdn.co/image/dd099b77ac1f55fb4d79b80009a6026aadbca75f,https://open.spotify.com/track/0Ie5uiv54KgCr7P4sYDTHl,spotify:track:0Ie5uiv54KgCr7P4sYDTHl,christmas,TRUE,113.401,0.647,0.281,0.553,0.0649,-8.869,0.476,0
2018-12-24 20:59:44,Mistletoe,Justin Bieber,Under The Mistletoe (Deluxe Edition),182946,https://i.scdn.co/image/7b29a6ef7f7e8f9c4463e43789dc3278137e48e5,https://open.spotify.com/track/32OWobmyAz8J2qA8iWekyS,spotify:track:32OWobmyAz8J2qA8iWekyS,canadian pop,TRUE,161.947,0.511,0.0911,0.666,0.0446,-9.188,0.543,0
2018-12-24 21:02:48,Christmas (Baby Please Come Home),Olivia Holt,Christmas (Baby Please Come Home),150440,https://i.scdn.co/image/5675c9c181f27fc76139b600ef3b8b27be670324,https://open.spotify.com/track/5ZfbW6bwH6bKlsCxpokq8c,spotify:track:5ZfbW6bwH6bKlsCxpokq8c,dance pop,TRUE,130.983,0.215,0.0991,0.6,0.0577,-5.571,0.847,0.0000413
2018-12-24 21:05:19,Have Yourself A Merry Little Christmas,Sam Smith,Have Yourself A Merry Little Christmas,170964,https://i.scdn.co/image/b5333d4d36c18cfde61d7b6619b0f2b5f8804ec4,https://open.spotify.com/track/7Hz6LLOVxrojLPIHJJ1S0E,spotify:track:7Hz6LLOVxrojLPIHJJ1S0E,pop,TRUE,133.483,0.954,0.317,0.426,0.0436,-9.429,0.177,0
2018-12-24 21:12:13,Cold December Night,Michael Bublé,Christmas (Deluxe Special Edition),198266,https://i.scdn.co/image/91c2445c170390988d8010c45abb5c9d4c2db174,https://open.spotify.com/track/23EvkivHtoFgkSK5pckvwq,spotify:track:23EvkivHtoFgkSK5pckvwq,adult standards,TRUE,83.873,0.00722,0.0896,0.517,0.0247,-6.763,0.702,0
2018-12-24 21:15:32,White Christmas,Bing Crosby,Bing Crosby Rediscovered: The Soundtrack (American Masters),179293,https://i.scdn.co/image/e196297375a0034662bb40d24c78c5404b74370e,https://open.spotify.com/track/3FAO4AyAGNI7QSSnyZD256,spotify:track:3FAO4AyAGNI7QSSnyZD256,adult standards,TRUE,97.759,0.903,0.37,0.347,0.0328,-15.435,0.172,0.0024
2018-12-24 21:18:30,What Christmas Means To Me,98º,Let It Snow,183800,https://i.scdn.co/image/5be2a80f862efad3f8da3dfab3b1b54204cc8e6a,https://open.spotify.com/track/58C81zfTH4pygXCk7miGO5,spotify:track:58C81zfTH4pygXCk7miGO5,boy band,TRUE,80.999,0.159,0.0537,0.541,0.0416,-5.069,0.872,0
